"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","lwr.ci","upr.ci","dataInput","model","site","groupAge","serotype","year.lamb"
"C1D3.4.17",2.52769268954678e-05,0.00995016019227052,0.0171400694100464,0.0202080125390572,0.026950515731828,0.113103103082486,0.0199580103558643,0.02045801472225,"C1D3","TVSS","KH",5,"DENV4",17
"C1D3.1.18",8.75989744657524e-05,0.00894782335430125,0.0155970862192533,0.0184542215966858,0.0248157333597916,0.117174357621502,0.0182230906869203,0.0186853525064513,"C1D3","TVSS","KH",5,"DENV1",18
"C1D3.2.18",0.000448842296077889,0.0402178974319117,0.0695223714258963,0.0803836986278909,0.108038068326989,0.402095674835959,0.0794313502822538,0.081336046973528,"C1D3","TVSS","KH",5,"DENV2",18
"C1D3.3.18",8.71838660412294e-05,0.00790514662296102,0.0137844046678249,0.01634069616966,0.0220071066799706,0.101180906371323,0.0161341187310357,0.0165472736082844,"C1D3","TVSS","KH",5,"DENV3",18
"C1D3.4.18",0.00011783615364791,0.0100533717435708,0.0174982073818731,0.0205265582693151,0.0274275655470453,0.110998785368543,0.0202716054339148,0.0207815111047154,"C1D3","TVSS","KH",5,"DENV4",18
"C1D3.1.19",9.14643595323339e-05,0.00948968070624132,0.0164730751688495,0.0194109748146913,0.02613770557714,0.110998175275248,0.0191699083144691,0.0196520413149135,"C1D3","TVSS","KH",5,"DENV1",19
"C1D3.2.19",0.000470107397291364,0.0373316544644908,0.064337212011247,0.0749067500529193,0.101285638352866,0.410033791289289,0.0740038353699961,0.0758096647358425,"C1D3","TVSS","KH",5,"DENV2",19
"C1D3.3.19",1.87600615095818e-05,0.00854538998587323,0.0146956804838922,0.0175239004433099,0.0235092131820049,0.113957436649773,0.0173061034292987,0.0177416974573212,"C1D3","TVSS","KH",5,"DENV3",19
"C1D3.4.19",1.98680687526487e-05,0.0112105461985833,0.0191899011064392,0.022694736631701,0.0305121110516238,0.14095906901409,0.0224146442336214,0.0229748290297806,"C1D3","TVSS","KH",5,"DENV4",19
"C1D3.1.20",0.000138309389748459,0.0095606559613271,0.016922986142657,0.0199115667459544,0.0268076648206403,0.119910865691285,0.0196634217465146,0.0201597117453942,"C1D3","TVSS","KH",5,"DENV1",20
"C1D3.2.20",0.000609946987324084,0.0337033351664696,0.0574206069327806,0.0670136831666706,0.0894369041646809,0.392556816413967,0.066203964122016,0.0678234022113251,"C1D3","TVSS","KH",5,"DENV2",20
"C1D3.3.20",7.94724685106996e-05,0.00863676363019369,0.014927819794838,0.0177687503457181,0.0239410734025421,0.130836744149651,0.017545482926915,0.0179920177645212,"C1D3","TVSS","KH",5,"DENV3",20
"C1D3.4.20",0.000175100597151756,0.0108544832986246,0.0193283950957219,0.0229283975726468,0.030814880749327,0.148389351877078,0.0226377543137474,0.0232190408315461,"C1D3","TVSS","KH",5,"DENV4",20
"C1D3.1.21",0.000216387317125921,0.00953956750850693,0.0164913079153676,0.0195984686293136,0.0264410338125045,0.103288049373119,0.0193524609847941,0.0198444762738332,"C1D3","TVSS","KH",5,"DENV1",21
"C1D3.2.21",0.000368648724574761,0.0357264765008572,0.0614654688245198,0.071412223102828,0.0961559224863007,0.371177798985937,0.0705561741882209,0.0722682720174352,"C1D3","TVSS","KH",5,"DENV2",21
"C1D3.3.21",8.52713219614554e-05,0.00871914387191469,0.0152532622267185,0.0180267583034848,0.0241430805658337,0.0957688695572775,0.0178026641833623,0.0182508524236072,"C1D3","TVSS","KH",5,"DENV3",21
"C1D3.4.21",0.000288417253685669,0.011528902901422,0.019907935704307,0.0236539663573875,0.0319539947626928,0.138928606485681,0.0233623907200741,0.0239455419947008,"C1D3","TVSS","KH",5,"DENV4",21
"C1D3.1.22",0.000270485797162712,0.00974398602649679,0.0170602659622118,0.020618158096904,0.0279634640315515,0.126495119055399,0.0203533209360597,0.0208829952577483,"C1D3","TVSS","KH",5,"DENV1",22
"C1D3.2.22",0.000230549781965128,0.0342562685220535,0.0596008922944748,0.0701353268423353,0.0944484166427568,0.373626806663659,0.0692742507751375,0.0709964029095331,"C1D3","TVSS","KH",5,"DENV2",22
"C1D3.3.22",7.88150990821412e-05,0.00904950613407907,0.0158593041883186,0.0190170716637142,0.0258337825069642,0.14444742998464,0.0187750744111903,0.0192590689162382,"C1D3","TVSS","KH",5,"DENV3",22
